Num	CG	Titolo	Musica	Testo	Raccolta	Annopub	Editore	Fonte	FonteClass	Stile	Forma	USO	TEMPO	COLLOCAZ	RN/CDP	RN	CDP	RCB	AnnoImp	Difficoltà	Risultato	Colloc_1	Colloc_2	Colloc_3	CollocFILT	CoroAss
254	CG254	Venite al banchetto	M. Frisina		Dio ha tanto amato il mondo	2015		"M: M. Frisina , 'Dio ha tanto amato il mondo'   (2015)"		Liturgico - Polifonico		LIT	ORD	"ING,COM"												Coro e Assemblea
255	CG255	Segno di unità	A. Parisi	T. Ladisa	Eucaristia cuore della Domenica	2004		"M: A. Parisi, T: T. Ladisa, 'Eucaristia cuore della Domenica'   (2004)"		Liturgico - Polifonico		LIT	ORD	OFF												Coro
256	CG256	Cantate al Signore un canto nuovo	P. Fallormi					M: P. Fallormi    		Liturgico - Polifonico																Coro
257	CG257	Testimoni dell'amore	Buttazzo																							Coro
258	CG258	Tu sei il pane di vita	Buttazzo		Dall'amore di Dio																					Coro
259	CG259	Fiori di frumento	A. Parisi		Eucaristia cuore della Domenica			"M: A. Parisi , 'Eucaristia cuore della Domenica'   "		Liturgico - Polifonico		LIT	EUC													Coro
260	CG260	Io voglio amarti	RNS																							Coro
261	CG261	O Spirito di Dio	M. Frisina							Liturgico - Polifonico		LIT	SPI													Coro
262	ECG001	Agnello di Dio	M. Frisina		Pane di vita nuova	2000	Paoline	"M: M. Frisina , 'Pane di vita nuova'  ed. Paoline (2000)"	Frisina	Liturgico - Polifonico		LIT	OM		 			RCB055				11 - Agnello di Dio			11 - Agnello di Dio;;	Coro
263	ECG002	Agnello di Dio	A. Parisi					M: A. Parisi    	Parisi			LIT	OM		 			RCB117								Coro e Assemblea
264	ECG003	Agnus Dei	G. Oltrasi		Missa Cantate Domino			"M: G. Oltrasi , 'Missa Cantate Domino'   "		Liturgico - Polifonico		LIT	OM		 			RCB039				11 - Agnello di Dio			11 - Agnello di Dio;;	Coro
265	ECG004	Agnus Dei	M. Balduzzi		Verbum Panis		Miss.Oblati	"M: M. Balduzzi , 'Verbum Panis'  ed. Miss.Oblati "	Gen	Liturgico - Moderno		LIT	OM		 			RCB078	2008			11 - Agnello di Dio			11 - Agnello di Dio;;	Coro e Assemblea
266	ECG005	Alleluia	Gen Rosso e Verde		Come fuoco vivo	1998	Città Nuova	"M: Gen Rosso e Verde , 'Come fuoco vivo'  ed. Città Nuova (1998)"	Gen	Liturgico - Moderno	Canzone	LIT	OM		 			RCB049				05 - Alleluia			05 - Alleluia;;	Coro
267	ECG006	Alleluia	Taizè					M: Taizè    	Taizè	Liturgico - Moderno		LIT	OM		 			RCB065	2001			05 - Alleluia			05 - Alleluia;;	Coro e Assemblea
268	ECG007	Alleluia	M. Balduzzi		Verbum Panis		Miss.Oblati	"M: M. Balduzzi , 'Verbum Panis'  ed. Miss.Oblati "	Gen	Liturgico - Moderno		LIT	OM		 			RCB072	2008			05 - Alleluia			05 - Alleluia;;	Coro e Assemblea
269	ECG008	Alleluia	Gen Verde		Messa della Concordia	2006	Città Nuova	"M: Gen Verde , 'Messa della Concordia'  ed. Città Nuova (2006)"	Gen	Liturgico - Moderno		LIT	OM		 			RCB111	2013			05 - Alleluia				Coro e Assemblea
270	ECG009	Alleluia - Un giorno Santo	M. Frisina					M: M. Frisina    	Frisina	Liturgico - Polifonico		LIT	NAT		 			RCB099	2009			05 - Alleluia	19 - Tempi: Natale		05 - Alleluia;19 - Tempi: Natale;	Assemblea
271	ECG010	Benedici questo amore	P. Sequeri					M: P. Sequeri    		Liturgico - Moderno		LIT	MAT		 			RCB090				14 - Temi: Matrimonio			14 - Temi: Matrimonio;;	Coro e Assemblea
272	ECG011	Cantico dell'Agnello	M. Frisina		Cristo è nostra Pasqua			"M: M. Frisina , 'Cristo è nostra Pasqua'   "		Liturgico - Polifonico		LIT	PAS		 			RCB034				05 - Alleluia	21 - Tempi: Pasqua		05 - Alleluia;21 - Tempi: Pasqua;	Coro e Assemblea
273	ECG012	Dico si	F. Baggio					M: F. Baggio    		Liturgico - Moderno		LIT	MAT		 			RCB031				14 - Temi: Matrimonio			14 - Temi: Matrimonio;;	Coro
274	ECG013	Dove la carità è vera	M. Frisina					M: M. Frisina    		Liturgico - Polifonico		LIT	ORD	OFF	 			RCB007				12 - Comunione			12 - Comunione;;	Coro
275	ECG014	Gloria	M. Frisina		Non temere			"M: M. Frisina , 'Non temere'   "		Liturgico - Polifonico		LIT	OM		 			RCB021	2005			03 - Gloria			03 - Gloria;;	Coro
276	ECG015	Gloria	Oltrasi		Missa Cantate Domino			"M: Oltrasi , 'Missa Cantate Domino'   "		Liturgico - Polifonico		LIT	OM		 			RCB028				03 - Gloria			03 - Gloria;;	Coro
277	ECG016	Gloria	M. Frisina		Pane di vita nuova	2001	Paoline	"M: M. Frisina , 'Pane di vita nuova'  ed. Paoline (2001)"		Liturgico - Polifonico		LIT	OM		 			RCB089	2007			03 - Gloria			03 - Gloria;;	Coro
278	ECG017	Gloria (Lourdes)	Lecot					M: Lecot    		Liturgico - Polifonico		LIT	OM		RN8	RN8		RCB102	2012			03 - Gloria			03 - Gloria;;	Coro
279	ECG018	Kyrie	Oltrasi		Missa Cantate Domino			"M: Oltrasi , 'Missa Cantate Domino'   "		Liturgico - Polifonico		LIT	OM		 			RCB027				02 - Kyrie			02 - Kyrie;;	Coro
280	ECG019	Kyrie	J. Berthier		Taizè		LDC	"M: J. Berthier , 'Taizè'  ed. LDC "	RN	Liturgico - Polifonico		LIT	OM		RN2	RN2		RCB098				02 - Kyrie			02 - Kyrie;;	Coro
281	ECG020	Oggi è risorto	A. Parisi		Pasqua		Paoline	"M: A. Parisi , 'Pasqua'  ed. Paoline "		Liturgico - Polifonico		LIT	PAS		 			RCB037				21 - Tempi: Pasqua			21 - Tempi: Pasqua;;	Coro
282	ECG021	Santo (Bonfitto)	M. Bonfitto	Messale		1971	Eco	"M: M. Bonfitto, T: Messale  ed. Eco (1971)"				LIT	OM		RN23	RN23						09 - Santo				Coro
283	ECG022	Santo	Rossi					M: Rossi    		Liturgico - Polifonico		LIT	OM		RN26	RN26		RCB020	2005			09 - Santo			09 - Santo;;	Coro
284	ECG023	Santo (Picchi)	L. Picchi	Messale			Carrara	"M: L. Picchi, T: Messale  ed. Carrara "				LIT	OM		RN25	RN25						09 - Santo				Coro
285	ECG024	Santo	Gen Verde		E' bello lodarti	2000	Città Nuova	"M: Gen Verde , 'E' bello lodarti'  ed. Città Nuova (2000)"		Liturgico - Moderno		LIT	OM		 			RCB091				09 - Santo			09 - Santo;;	Coro
286	ECG025	Santo	Gen Rosso e Verde		Come fuoco vivo	1998	Città Nuova	"M: Gen Rosso e Verde , 'Come fuoco vivo'  ed. Città Nuova (1998)"		Liturgico - Moderno		LIT	OM		 			RCB001				09 - Santo			09 - Santo;;	Coro
287	ECG026	Amen	Cerino					M: Cerino    				LIT	OM		RN31	RN31										Coro
288	ECG027	Cantan gli angeli (Hark the herald angels sing)	C. Wesley					M: C. Wesley    		Tradizionale			NAT		 			RCB113	2013			19 - Tempi: Natale				Assemblea
289	ECG028	Preconio Pasquale - Pasqua è gioia								Liturgico - Polifonico		LIT	PAS		RN											Coro
290	ECG030	"Cantate al Signore, Alleluia"	M. Frisina		O Ostia Santa			"M: M. Frisina , 'O Ostia Santa'   "		Liturgico - Polifonico		LIT	ORD	ING	 			RCB088	2009			01 - Ingresso			01 - Ingresso;;	Coro
291	ECG031	Ave Maria	J. Arcadelt		-			"M: J. Arcadelt , '-'   "		Tradizionale			MAR		 			RCB059	2007			22 - Temi: Maria			22 - Temi: Maria;;	Coro
292	ECG032	Credo	Gen Rosso e Verde		Come fuoco vivo	1998	Città Nuova	"M: Gen Rosso e Verde , 'Come fuoco vivo'  ed. Città Nuova (1998)"		Liturgico - Moderno			OM		 			RCB062				06 - Credo			06 - Credo;;	Coro
293	ECG033	Cristo nostra pace	M. Frisina		Cristo nostra salvezza			"M: M. Frisina , 'Cristo nostra salvezza'   "		Liturgico - Polifonico		LIT	ORD	"ING,FIN"	 			RCB041				01 - Ingresso	13 - Fine		01 - Ingresso;13 - Fine;	Coro
294	ECG034	Viene il Signore	M. Frisina		Stillate cieli dall'alto			"M: M. Frisina , 'Stillate cieli dall'alto'   "		Liturgico - Polifonico		LIT	"AVV,NAT"		 			RCB068	2007			19 - Tempi: Natale	18 - Tempi: Avvento		19 - Tempi: Natale;18 - Tempi: Avvento;	Coro
295	ECG035	Sanctus	M. Balduzzi		Verbum Panis		Miss.Oblati	"M: M. Balduzzi , 'Verbum Panis'  ed. Miss.Oblati "		Liturgico - Moderno		LIT	OM		 			RCB077	2008			09 - Santo			09 - Santo;;	Coro
296	ECG036	Santo	M. Frisina		Pane di vita nuova	2005	Paoline	"M: M. Frisina , 'Pane di vita nuova'  ed. Paoline (2005)"		Liturgico - Polifonico		LIT	OM		 			RCB009				09 - Santo			09 - Santo;;	Coro
297	ECG037	Hai parole di vita eterna	Gen Rosso		Messa della Concordia	2006	Città Nuova	"M: Gen Rosso , 'Messa della Concordia'  ed. Città Nuova (2006)"		Liturgico - Moderno			ORD	SAL	 			RCB084	2008			04 - Salmo			04 - Salmo;;	Coro
298	ECG038	O tu che dormi destati (In dulci jubilo)						     		Tradizionale		LIT	NAT		RN			RCB103	2012			19 - Tempi: Natale			19 - Tempi: Natale;;	Coro
299	ECG039	Sanctus	Oltrasi		Missa Cantate Domino			"M: Oltrasi , 'Missa Cantate Domino'   "		Liturgico - Polifonico		LIT	OM		 			RCB038				09 - Santo			09 - Santo;;	Coro
300	ECG040	Santo	Gen Verde		Il mistero pasquale	2011	Città Nuova	"M: Gen Verde , 'Il mistero pasquale'  ed. Città Nuova (2011)"		Liturgico - Moderno		LIT	OM		 			RCB110	2013			09 - Santo			09 - Santo;;	Coro
301	ECG041	Gli angeli nelle campagne			-			"  , '-'   "		Tradizionale			NAT		 			RCB054				19 - Tempi: Natale			19 - Tempi: Natale;;	Coro
302	ECG042	Il cantico delle creature						     		Liturgico - Moderno			ORD		 			RCB029				01 - Ingresso			01 - Ingresso;;	Coro
303	ECG043	In notte placida						     		Tradizionale			NAT		 			RCB083	2008			19 - Tempi: Natale			19 - Tempi: Natale;;	Coro
304	ECG044	Joy to the world						     		Tradizionale			NAT		 			RCB057				19 - Tempi: Natale			19 - Tempi: Natale;;	Coro
305	ECG045	Jubilate Deo	M. Frisina					M: M. Frisina    		Liturgico - Polifonico			ORD		 			RCB017				12 - Comunione	13 - Fine		12 - Comunione;13 - Fine;	Coro
306	ECG046	Kumbaya						     		Gospel			RIP		 			RCB081	2007			99 - Altro			99 - Altro;;	Coro
307	ECG047	Magnificat	Taizè					M: Taizè    		Liturgico - Moderno			MAR		 			RCB043				22 - Temi: Maria			22 - Temi: Maria;;	Coro
308	ECG048	Me has seducido Senor						     		Religioso			RIP		 			RCB052	2005			23 - Temi: Vocazione			23 - Temi: Vocazione;;	Coro
309	ECG049	Nella notte sbocciò						     		Tradizionale		LIT	NAT		 			RCB014				19 - Tempi: Natale			19 - Tempi: Natale;;	Coro
310	ECG050	Noi loderemo il Signor	RNS				RNS	M: RNS   ed. RNS 	RNS	Liturgico - Moderno			ORD		 			RCB046				13 - Fine			13 - Fine;;	
311	ECG051	Quando il Signore verrà	P. Sequeri					M: P. Sequeri    		Liturgico - Polifonico			AVV		 			RCB016				19 - Tempi: Natale	18 - Tempi: Avvento		19 - Tempi: Natale;18 - Tempi: Avvento;	
312	ECG052	Regina Coeli	M. Frisina					M: M. Frisina    		Liturgico - Polifonico			MAR		 			RCB085	2007			22 - Temi: Maria	21 - Tempi: Pasqua		22 - Temi: Maria;21 - Tempi: Pasqua;	
313	ECG053	Salve Regina	F. Schubert					M: F. Schubert    		Liturgico - Polifonico			MAR		 			RCB073	2007			22 - Temi: Maria			22 - Temi: Maria;;	
314	ECG054	Signore delle cime	B. De Marzi					M: B. De Marzi    		Religioso			RIP		 			RCB082	2007			99 - Altro			99 - Altro;;	
315	ECG055	So che sei qui	Gen Verde		Messa della Concordia	2006	Città Nuova	"M: Gen Verde , 'Messa della Concordia'  ed. Città Nuova (2006)"		Liturgico - Moderno			ORD	COM	 			RCB112	2012			12 - Comunione				
316	ECG056	Stella appar						     		Tradizionale			NAT		 			RCB010				19 - Tempi: Natale			19 - Tempi: Natale;;	
317	ECG057	Total praise	R. Smallwood					M: R. Smallwood    		Gospel			RIP		 			RCB080	2007			99 - Altro			99 - Altro;;	
318	ECG058	Totus Tuus	M. Frisina		Cristo nostra salvezza			"M: M. Frisina , 'Cristo nostra salvezza'   "		Liturgico - Polifonico			MAR	OFF	 			RCB053	2007			22 - Temi: Maria			22 - Temi: Maria;;	
319	ECG059	Tu es sacerdos						     		Liturgico - Polifonico			ORD		 			RCB095	2007			23 - Temi: Vocazione			23 - Temi: Vocazione;;	
320	ECG060	Gloria	A. Parisi		Celebriamo in Spirito e verità			"M: A. Parisi , 'Celebriamo in Spirito e verità'   "		Liturgico - Polifonico		LIT	OM													
321	ECG061	Alleluia - Le tue parole	M. Frisina		Dio ha tanto amato il mondo	2015		"M: M. Frisina , 'Dio ha tanto amato il mondo'   (2015)"		Liturgico - Polifonico		LIT	ORD													
322	ECG062	Santo - Dio ha tanto amato il mondo	M. Frisina		Dio ha tanto amato il mondo	2015		"M: M. Frisina , 'Dio ha tanto amato il mondo'   (2015)"		Liturgico - Polifonico		LIT	OM													
323	ECG063	Salve dolce Vergine	M. Frisina					M: M. Frisina    		Liturgico - Polifonico																
324	ECG064	Nostra Pasqua o Cristo Signore	F. Massimillo	A. M. Galliano	Mistero della fede	2013				Liturgico - Polifonico		LIT	PAS													
325	ECG065	Quelli che amano te	Gen Rosso		Voce del mio canto							LIT	ORD	OFF												
326	ECG066	Alleluia - Voce del mio canto	Gen Rosso		Voce del mio canto							LIT	OM													
327	ECG067	Gloria a Dio	P. Dargenio		Sorgente di vita							LIT	OM													
328	ECG068	Ave Maria - Christmas Lullaby	J. Rutter							Liturgico - Polifonico		LIT	NAT													
329																										
330																										
331																										
