Num	CG	Titolo	Musica	Testo	Raccolta	Annopub	Editore	Fonte	FonteClass	Stile	Forma	USO	TEMPO	COLLOCAZ	RN/CDP	RN	CDP	RCB	AnnoImp	Difficoltà	Risultato	Colloc_1	Colloc_2	Colloc_3	CollocFILT	CoroAss
148	CG148	O luce radiosa	J. Gelineau	G. Sobrero			LDC	"M: J. Gelineau, T: G. Sobrero  ed. LDC - RN146"	RN			LIT	PAS		RN146	RN146	CDP					21 - Tempi: Pasqua			21 - Tempi: Pasqua;;	Coro
149	CG149	O Redentore dell'uomo	S. Marcianò	D.M.Turoldo			Carrara	"M: S. Marcianò, T: D.M.Turoldo  ed. Carrara - RN52"	RN		Inno	LIT	AVV		RN52	RN52	CDP		2013			18 - Tempi: Avvento			18 - Tempi: Avvento;;	Assemblea
150	CG150	O Signore raccogli i tuoi figli	D. Stefani	V. Meloni			LDC	"M: D. Stefani, T: V. Meloni  ed. LDC - RN369"	RN			LIT	ORD		RN369	RN369	CDP								;;	Assemblea
151	CG151	Ogni mia parola	Gen Verde		E' bello lodarti	1998	Città Nuova	"M: Gen Verde , 'E' bello lodarti'  ed. Città Nuova (1998)-  "	Gen			LIT	ORD		 										;;	Assemblea
152	CG152	Osanna al figlio di David	P. Damilano	Gazzera/Agamennone		1959		"M: P. Damilano, T: Gazzera/Agamennone   (1959)- CDP455"	CDP			LIT	"QUA, AVV"		CDP455		CDP455								;;	Assemblea
153	CG153	Pace sia pace a voi	Gen Rosso e Verde		Come fuoco vivo	1998	Città Nuova	"M: Gen Rosso e Verde , 'Come fuoco vivo'  ed. Città Nuova (1998)-  "	Gen			RIP	RIP		 										;;	Assemblea
154	CG154	Padre nuestro	P. Simon					M: P. Simon    -  	M2G	Religioso		RIP	RIP		 			RCB036				10 - Padre Nostro			10 - Padre Nostro;;	Assemblea
155	CG155	Pane del cielo	Gen Rosso		Dove tu sei	1982	Città Nuova	"M: Gen Rosso , 'Dove tu sei'  ed. Città Nuova (1982)-  "	Gen			LIT	EUC		 										;;	Assemblea
156	CG156	Padre perdona	Gregoriano	G. Stefani		1966	LDC	"M: Gregoriano, T: G. Stefani  ed. LDC (1966)- CDP499"	CDP			LIT	QUA		CDP499		CDP499					20 - Tempi: Quaresima			20 - Tempi: Quaresima;;	Assemblea
157	CG157	Pane di vita nuova	M. Frisina		Pane di vita nuova	2004	Paoline	"M: M. Frisina , 'Pane di vita nuova'  ed. Paoline (2004)- RN370"	RN	Liturgico - Polifonico		LIT	EUC		RN370	RN370		RCB056				12 - Comunione			12 - Comunione;;	Coro e Assemblea
158	CG158	Pane di vita	RNS					M: RNS    -  	RNS			LIT	EUC		 				2013			12 - Comunione			12 - Comunione;;	Assemblea
159	CG159	Pane vivo spezzato per noi	J. Akepsimas	E. Costa			LDC	"M: J. Akepsimas, T: E. Costa  ed. LDC - RN373"	RN	Liturgico - Polifonico		LIT	QUA		RN373	RN373	CDP699	RCB067				20 - Tempi: Quaresima	12 - Comunione		20 - Tempi: Quaresima;12 - Comunione;	Coro
160	CG160	Pange lingua - Tantum ergo	Gregoriano					M: Gregoriano    - RN374	RN	Tradizionale		LIT	EUC		RN374	RN374	CDP								;;	Assemblea
161	CG161	Purificami o Signore	"A. Martorell, J. Gelineau"	Sal 50			LDC	"M: A. Martorell, J. Gelineau, T: Sal 50  ed. LDC - RN92"	RN			LIT	QUA		RN92	RN92	CDP					20 - Tempi: Quaresima			20 - Tempi: Quaresima;;	Assemblea
162	CG162	Perché tu sei con me	Gen Verde		Cerco il tuo volto	2000	Città Nuova	"M: Gen Verde , 'Cerco il tuo volto'  ed. Città Nuova (2000)-  "	Gen	Liturgico - Moderno		LIT	ORD	"OFF,COM,SAL"	 			RCB005				08 - Offertorio	12 - Comunione		08 - Offertorio;12 - Comunione;	Coro e Assemblea
163	CG163	Quale gioia	RNS					M: RNS    -  	RNS			LIT	QUA		 										;;	Assemblea
